NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
1114,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1114 AV DE CHATEAUBRIANT,
3567,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,3567 CH ST-PHILIPPE,
752,,Croissant du Grand-Duc,Croissant,du,Grand-Duc,752 CROISSANT DU GRAND-DUC,
1600,,Avenue Phillips,Avenue,,Phillips,1600 AV PHILLIPS,
2063,,7e Avenue,Avenue,,7e,2063 7E AV,
310,,Rue Martel,Rue,,Martel,310 RUE MARTEL,
1229,,Rue d'Anjou,Rue,d',Anjou,1229 RUE D'ANJOU,
299,,Avenue Crépeau,Avenue,,Crépeau,299 AV CREPEAU,
2249,,Avenue de la Gare,Avenue,de la,Gare,2249 AV DE LA GARE,
2319,,Chemin Saint-Henri,Chemin,,Saint-Henri,2319 CH ST-HENRI,
1200,,Croissant Augusta,Croissant,,Augusta,1200 CROISSANT AUGUSTA,
682,,Rue de Montmartre,Rue,de,Montmartre,682 RUE DE MONTMARTRE,
1114,,Avenue Dupuis,Avenue,,Dupuis,1114 AV DUPUIS,
2961,,Rue Dugas,Rue,,Dugas,2961 RUE DUGAS,
98,,Chemin Pincourt,Chemin,,Pincourt,98 CH PINCOURT,
1368,,Place Saint-Jean,Place,,Saint-Jean,1368 PLACE ST-JEAN,
2010,,Avenue de la Gare,Avenue,de la,Gare,2010 AV DE LA GARE,
3275,,Avenue de la Gare,Avenue,de la,Gare,3275 AV DE LA GARE,
2690,,Rue des Faucons,Rue,des,Faucons,2690 RUE DES FAUCONS,
772,,Rue des Érables,Rue,des,Érables,772 RUE DES ERABLES,
325,,Place Corbeil,Place,,Corbeil,325 PLACE CORBEIL,
3729,,Rue Gauvreau,Rue,,Gauvreau,3729 RUE GAUVREAU,
1395,,Boulevard Raymond,Boulevard,,Raymond,1395 BOUL RAYMOND,
1205,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1205 AV DE CHATEAUBRIANT,
2873,,Rue de Calais,Rue,de,Calais,2873 RUE DE CALAIS,
2220,,Rue Barott,Rue,,Barott,2220 RUE BAROTT,
690,,Place de la Brise,Place,de la,Brise,690 PLACE DE LA BRISE,
3037,,Boulevard de Mascouche,Boulevard,de,Mascouche,3037 BOUL DE MASCOUCHE,
2053,,Avenue de la Gare,Avenue,de la,Gare,2053 AV DE LA GARE,
1146,,Chemin Pincourt,Chemin,,Pincourt,1146 CH PINCOURT,
1235,,Rue du Havre,Rue,du,Havre,1235 RUE DU HAVRE,
2471,,Rue de Toulon,Rue,de,Toulon,2471 RUE DE TOULON,
2400,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,2400 CH DE LA CABANE-RONDE,
745,A,Avenue Crépeau,Avenue,,Crépeau,745 AV CREPEAU,
2027,,Rue de Brompton,Rue,de,Brompton,2027 RUE DE BROMPTON,
2593,,Avenue Prévert,Avenue,,Prévert,2593 AV PREVERT,
2692,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2692 CH STE-MARIE,
1121,,Rue Dufort,Rue,,Dufort,1121 RUE DUFORT,
2781,,Rue Chauvette,Rue,,Chauvette,2781 RUE CHAUVETTE,
805,,Rue Beaudoin,Rue,,Beaudoin,805 RUE BEAUDOIN,
2932,,Rue Demers,Rue,,Demers,2932 RUE DEMERS,
1417,,Rue de Cherbourg,Rue,de,Cherbourg,1417 RUE DE CHERBOURG,
2577,,Rue Rousseau,Rue,,Rousseau,2577 RUE ROUSSEAU,
1034,,Rue Barott,Rue,,Barott,1034 RUE BAROTT,
2563,,Rue de Versailles,Rue,de,Versailles,2563 RUE DE VERSAILLES,
420,,Croissant de Bourguignon,Croissant,de,Bourguignon,420 CROISSANT DE BOURGUIGNON,
1862,,Avenue de la Gare,Avenue,de la,Gare,1862 AV DE LA GARE,
2715,,Rue de Bordeaux,Rue,de,Bordeaux,2715 RUE DE BORDEAUX,
1030,,Rue des Fontaines,Rue,des,Fontaines,1030 RUE DES FONTAINES,
2201,,Boulevard de Mascouche,Boulevard,de,Mascouche,2201 BOUL DE MASCOUCHE,
2942,,Avenue de la Gare,Avenue,de la,Gare,2942 AV DE LA GARE,
