NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
883,,Rue Circle,Rue,,Circle,883 RUE CIRCLE,
2406,,Avenue de la Gare,Avenue,de la,Gare,2406 AV DE LA GARE,
2216,,Rue de Chambois,Rue,de,Chambois,2216 RUE DE CHAMBOIS,
1044,,Avenue Garden,Avenue,,Garden,1044 AV GARDEN,
1270,,Avenue de Normandie,Avenue,de,Normandie,1270 AV DE NORMANDIE,
2010,,Rue de Toulon,Rue,de,Toulon,2010 RUE DE TOULON,
141,,Croissant de Galles,Croissant,de,Galles,141 CROISSANT DE GALLES,
1304,,Rue de Norvège,Rue,de,Norvège,1304 RUE DE NORVEGE,
1080,,Croissant Augusta,Croissant,,Augusta,1080 CROISSANT AUGUSTA,
1070,,Avenue Dupuis,Avenue,,Dupuis,1070 AV DUPUIS,
2140,,Rue Barott,Rue,,Barott,2140 RUE BAROTT,
2758,,Rue des Chardonnerets,Rue,des,Chardonnerets,2758 RUE DES CHARDONNERETS,
3402,,Rue de Vanier,Rue,de,Vanier,3402 RUE DE VANIER,
1323,,Rue de Brest,Rue,de,Brest,1323 RUE DE BREST,
1720,,Avenue Phillips,Avenue,,Phillips,1720 AV PHILLIPS,
2443,,Avenue de Maussac,Avenue,de,Maussac,2443 AV DE MAUSSAC,
1531,,Avenue de la Gare,Avenue,de la,Gare,1531 AV DE LA GARE,
457,,Rue Andrassy,Rue,,Andrassy,457 RUE ANDRASSY,
2073,,Avenue de la Gare,Avenue,de la,Gare,2073 AV DE LA GARE,
3047,,Avenue Charron,Avenue,,Charron,3047 AV CHARRON,
1386,,Rue Boissonneault,Rue,,Boissonneault,1386 RUE BOISSONNEAULT,
1099,,Avenue Dupuis,Avenue,,Dupuis,1099 AV DUPUIS,
756,,Rue Turenne,Rue,,Turenne,756 RUE TURENNE,
1314,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1314 AV DE CHATEAUBRIANT,
214,,Chemin des Anglais,Chemin,des,Anglais,214 CH DES ANGLAIS,
2310,,Rue de Versailles,Rue,de,Versailles,2310 RUE DE VERSAILLES,
2666,,Avenue de la Gare,Avenue,de la,Gare,2666 AV DE LA GARE,
3320,,Avenue de Charlevoix,Avenue,de,Charlevoix,3320 AV DE CHARLEVOIX,
1988,,Rue Comtois,Rue,,Comtois,1988 RUE COMTOIS,
2537,,Rue des Fontaines,Rue,des,Fontaines,2537 RUE DES FONTAINES,
2144,,Rue Bergeron,Rue,,Bergeron,2144 RUE BERGERON,
1350,,Rue de Léry,Rue,de,Léry,1350 RUE DE LERY,
2393,,Avenue de la Gare,Avenue,de la,Gare,2393 AV DE LA GARE,
1022,,Avenue de Normandie,Avenue,de,Normandie,1022 AV DE NORMANDIE,
1383,,Rue de l'Aigle,Rue,de l',Aigle,1383 RUE DE L'AIGLE,
650,,Rue des Érables,Rue,des,Érables,650 RUE DES ERABLES,
3024,,Rue Morrisseau,Rue,,Morrisseau,3024 RUE MORRISSEAU,
1388,,Chemin des Anglais,Chemin,des,Anglais,1388 CH DES ANGLAIS,
1045,,Avenue Saint-Luc,Avenue,,Saint-Luc,1045 AV ST-LUC,
2650,,Rue Principale,Rue,,Principale,2650 RUE PRINCIPALE,
2895,,Rue des Mésanges,Rue,des,Mésanges,2895 RUE DES MESANGES,
2048,,Rue Comtois,Rue,,Comtois,2048 RUE COMTOIS,
1601,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1601 CH DE LA COTE-GEORGES,
1442,A,Avenue Dupuis,Avenue,,Dupuis,1442 AV DUPUIS,
638,,Rue des Éperviers,Rue,des,Éperviers,638 RUE DES EPERVIERS,
2694,,Rue Dumont,Rue,,Dumont,2694 RUE DUMONT,
1258,,Avenue de Chambéry,Avenue,de,Chambéry,1258 AV DE CHAMBERY,
2701,,Rue Dumont,Rue,,Dumont,2701 RUE DUMONT,
3106,,Rue Lemire,Rue,,Lemire,3106 RUE LEMIRE,
1208,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1208 AV DE CHATEAUBRIANT,
969,,Croissant Georges-Delfosse,Croissant,,Georges-Delfosse,969 CROISSANT GEORGES-DELFOSSE,
2680,,Rue Landry,Rue,,Landry,2680 RUE LANDRY,
1475,,Rue de l'Albatros,Rue,de l',Albatros,1475 RUE DE L'ALBATROS,
729,,Rue des Alpes,Rue,des,Alpes,729 RUE DES ALPES,
1438,,Croissant Lemelin,Croissant,,Lemelin,1438 CROISSANT LEMELIN,
1184,,Avenue Mathieu,Avenue,,Mathieu,1184 AV MATHIEU,
2310,,Rue de Toulon,Rue,de,Toulon,2310 RUE DE TOULON,
1466,,Avenue Phillips,Avenue,,Phillips,1466 AV PHILLIPS,
619,,Rue Parent,Rue,,Parent,619 RUE PARENT,
2760,,Rue de Clermont,Rue,de,Clermont,2760 RUE DE CLERMONT,
3312,,Rue de Richelieu,Rue,de,Richelieu,3312 RUE DE RICHELIEU,
2740,,Rue Laval,Rue,,Laval,2740 RUE LAVAL,
337,,Place de Villandry,Place,de,Villandry,337 PLACE DE VILLANDRY,
1082,,Rue Lapointe,Rue,,Lapointe,1082 RUE LAPOINTE,
910,,Rue des Épinettes,Rue,des,Épinettes,910 RUE DES EPINETTES,
2348,,Croissant François-Villon,Croissant,,François-Villon,2348 CROISSANT FRANCOIS-VILLON,
1427,,Chemin Saint-Henri,Chemin,,Saint-Henri,1427 CH ST-HENRI,
255,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde,255 CH DE LA CABANE-RONDE,
1712,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1712 CH STE-MARIE,
2826,,Rue Bourgie,Rue,,Bourgie,2826 RUE BOURGIE,
1227,,Avenue Dupuis,Avenue,,Dupuis,1227 AV DUPUIS,
190,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,190 RUE DE ST-GABRIEL,
578,,Rue Deslongchamps,Rue,,Deslongchamps,578 RUE DESLONGCHAMPS,
2122,,Avenue de la Gare,Avenue,de la,Gare,2122 AV DE LA GARE,
1511,,Boulevard Raymond,Boulevard,,Raymond,1511 BOUL RAYMOND,
1050,,Avenue Saint-Luc,Avenue,,Saint-Luc,1050 AV ST-LUC,
2604,,Avenue de la Gare,Avenue,de la,Gare,2604 AV DE LA GARE,
1550,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1550 AV DE CHATEAUBRIANT,
1337,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1337 AV DE CHATEAUBRIANT,
1403,,Avenue Phillips,Avenue,,Phillips,1403 AV PHILLIPS,
428,,Rue Parent,Rue,,Parent,428 RUE PARENT,
2551,,Avenue de Maussac,Avenue,de,Maussac,2551 AV DE MAUSSAC,
1424,,Avenue Dupuis,Avenue,,Dupuis,1424 AV DUPUIS,
1709,,Rue Lauzon,Rue,,Lauzon,1709 RUE LAUZON,
1045,,Montée Masson,Montée,,Masson,1045 MTEE MASSON,
2819,,Rue de Chartres,Rue,de,Chartres,2819 RUE DE CHARTRES,
2545,,Rue de Carnac,Rue,de,Carnac,2545 RUE DE CARNAC,
2880,,Rue des Mésanges,Rue,des,Mésanges,2880 RUE DES MESANGES,
327,,Place des Pluviers,Place,des,Pluviers,327 PLACE DES PLUVIERS,
2085,,Avenue Pierre,Avenue,,Pierre,2085 AV PIERRE,
1119,,Rue d'Auvergne,Rue,d',Auvergne,1119 RUE D'AUVERGNE,
266,,Avenue Crépeau,Avenue,,Crépeau,266 AV CREPEAU,
2052,,Rue Chartrand,Rue,,Chartrand,2052 RUE CHARTRAND,
2672,,Avenue de la Gare,Avenue,de la,Gare,2672 AV DE LA GARE,
1049,,Rue Suzanne,Rue,,Suzanne,1049 RUE SUZANNE,
2624,,Avenue de la Gare,Avenue,de la,Gare,2624 AV DE LA GARE,
2641,,Avenue Therrien,Avenue,,Therrien,2641 AV THERRIEN,
2645,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,2645 CH ST-PHILIPPE,
1062,,Avenue Garden,Avenue,,Garden,1062 AV GARDEN,
2239,,Boulevard de Mascouche,Boulevard,de,Mascouche,2239 BOUL DE MASCOUCHE,
3388,,Rue de Vanier,Rue,de,Vanier,3388 RUE DE VANIER,
1438,,Rue Labelle,Rue,,Labelle,1438 RUE LABELLE,
2345,,Rue de Chenonceau,Rue,de,Chenonceau,2345 RUE DE CHENONCEAU,
2038,,Rue Pigeon,Rue,,Pigeon,2038 RUE PIGEON,
1480,,Rue Barott,Rue,,Barott,1480 RUE BAROTT,
2828,,Rue de Chartres,Rue,de,Chartres,2828 RUE DE CHARTRES,
1509,,Avenue de la Gare,Avenue,de la,Gare,1509 AV DE LA GARE,
639,,Rue Chauveau,Rue,,Chauveau,639 RUE CHAUVEAU,
1140,,Chemin des Anglais,Chemin,des,Anglais,1140 CH DES ANGLAIS,
117,,Montée Masson,Montée,,Masson,117 MTEE MASSON,
671,,Croissant Taschereau,Croissant,,Taschereau,671 CROISSANT TASCHEREAU,
1065,,Avenue Louise,Avenue,,Louise,1065 AV LOUISE,
2535,,Rue Verlaine,Rue,,Verlaine,2535 RUE VERLAINE,
1610,,Rue Ontario,Rue,,Ontario,1610 RUE ONTARIO,
1048,,Avenue Garden,Avenue,,Garden,1048 AV GARDEN,
1174,,Rue Dompierre,Rue,,Dompierre,1174 RUE DOMPIERRE,
2684,,Rue Cantin,Rue,,Cantin,2684 RUE CANTIN,
3028,,Rue Perrier,Rue,,Perrier,3028 RUE PERRIER,
474,,Rue Marchand,Rue,,Marchand,474 RUE MARCHAND,
333,,Rue de Margaux,Rue,de,Margaux,333 RUE DE MARGAUX,
867,,Chemin des Anglais,Chemin,des,Anglais,867 CH DES ANGLAIS,
1783,,Rue Station,Rue,,Station,1783 RUE STATION,
490,,Place des Tourterelles,Place,des,Tourterelles,490 PLACE DES TOURTERELLES,
1105,,Rue Saint-Andrews,Rue,,Saint-Andrews,1105 RUE ST-ANDREWS,
1203,,Avenue Louise,Avenue,,Louise,1203 AV LOUISE,
1549,,Avenue de la Gare,Avenue,de la,Gare,1549 AV DE LA GARE,
3043,,Avenue Charron,Avenue,,Charron,3043 AV CHARRON,
2922,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2922 CH STE-MARIE,
1040,,Rue Lapointe,Rue,,Lapointe,1040 RUE LAPOINTE,
2468,,Rue de Carnac,Rue,de,Carnac,2468 RUE DE CARNAC,
281,,Rue Martel,Rue,,Martel,281 RUE MARTEL,
1453,,Rue Barott,Rue,,Barott,1453 RUE BAROTT,
742,,Rue des Alpes,Rue,des,Alpes,742 RUE DES ALPES,
1268,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1268 CH STE-MARIE,
1841,,Rue Comtois,Rue,,Comtois,1841 RUE COMTOIS,
490,,Rue Sicard,Rue,,Sicard,490 RUE SICARD,
1720,,Rue Lauzon,Rue,,Lauzon,1720 RUE LAUZON,
2635,,Rue de Clermont,Rue,de,Clermont,2635 RUE DE CLERMONT,
1468,,Place de l'Aquilon,Place,de l',Aquilon,1468 PLACE DE L'AQUILON,
1310,,Chemin Saint-Henri,Chemin,,Saint-Henri,1310 CH ST-HENRI,
380,,Place du Calvados,Place,du,Calvados,380 PLACE DU CALVADOS,
1119,,Chemin Saint-Henri,Chemin,,Saint-Henri,1119 CH ST-HENRI,
2612,,Avenue de la Gare,Avenue,de la,Gare,2612 AV DE LA GARE,
2665,,Rue Dumont,Rue,,Dumont,2665 RUE DUMONT,
1440,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1440 CH DE LA COTE-GEORGES,
1401,,Rue Pine,Rue,,Pine,1401 RUE PINE,
2667,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus,2667 CROISSANT DES GEAIS-BLEUS,
1444,,Rue Poirier,Rue,,Poirier,1444 RUE POIRIER,J7L 1V7
611,,Rue de Pompadour,Rue,de,Pompadour,611 RUE DE POMPADOUR,
642,,Avenue Crépeau,Avenue,,Crépeau,642 AV CREPEAU,
1103,,Rue de l'Amour,Rue,de l',Amour,1103 RUE DE L'AMOUR,
67,,Place du Luxembourg,Place,du,Luxembourg,67 PLACE DU LUXEMBOURG,
1446,,Rue du Panama,Rue,du,Panama,1446 RUE DU PANAMA,
2510,,Rue des Fontaines,Rue,des,Fontaines,2510 RUE DES FONTAINES,
2237,,Rue de Chambois,Rue,de,Chambois,2237 RUE DE CHAMBOIS,
151,,Place La Millionnaire,Place,,La Millionnaire,151 PLACE LA MILLIONNAIRE,
1238,,Rue de Norvège,Rue,de,Norvège,1238 RUE DE NORVEGE,
1774,,Rue Station,Rue,,Station,1774 RUE STATION,
813,,Rue Beaudoin,Rue,,Beaudoin,813 RUE BEAUDOIN,
2808,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus,2808 CROISSANT DES GEAIS-BLEUS,
321,,Place de Villandry,Place,de,Villandry,321 PLACE DE VILLANDRY,
688,,Rue des Éperviers,Rue,des,Éperviers,688 RUE DES EPERVIERS,
2150,,Rue Rochon,Rue,,Rochon,2150 RUE ROCHON,
606,,Avenue Crépeau,Avenue,,Crépeau,606 AV CREPEAU,
468,,Rue Caron,Rue,,Caron,468 RUE CARON,
2790,,Place Simonne-Monet-Chartrand,Place,,Simonne-Monet-Chartrand,2790 PLACE SIMONNE-MONET-CHARTRAND,
1019,,Place Colville,Place,,Colville,1019 PLACE COLVILLE,
2864,,Rue de Châteauroux,Rue,de,Châteauroux,2864 RUE DE CHATEAUROUX,
2602,,Rue de Carnac,Rue,de,Carnac,2602 RUE DE CARNAC,
1147,,Chemin Saint-Henri,Chemin,,Saint-Henri,1147 CH ST-HENRI,
1057,,Rue Suzanne,Rue,,Suzanne,1057 RUE SUZANNE,
2698,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2698 CH STE-MARIE,
3558,,Chemin Saint-Henri,Chemin,,Saint-Henri,3558 CH ST-HENRI,
1090,,Rue River,Rue,,River,1090 RUE RIVER,
691,,Rue Houle,Rue,,Houle,691 RUE HOULE,
2356,,Avenue de Maussac,Avenue,de,Maussac,2356 AV DE MAUSSAC,
428,,Rue Terry-Fox,Rue,,Terry-Fox,428 RUE TERRY-FOX,
960,,Place Balzac,Place,,Balzac,960 PLACE BALZAC,
2880,,Avenue de la Gare,Avenue,de la,Gare,2880 AV DE LA GARE,
2248,,Boulevard de Mascouche,Boulevard,de,Mascouche,2248 BOUL DE MASCOUCHE,
2875,,Avenue Marie-Victorin,Avenue,,Marie-Victorin,2875 AV MARIE-VICTORIN,
2413,,Rue de Bayonne,Rue,de,Bayonne,2413 RUE DE BAYONNE,
2879,,Rue Françoise-Giroud,Rue,,Françoise-Giroud,2879 RUE FRANCOISE-GIROUD,
509,,Montée Masson,Montée,,Masson,509 MTEE MASSON,
2313,,Boulevard de Mascouche,Boulevard,de,Mascouche,2313 BOUL DE MASCOUCHE,
2193,,Rue de Fontainebleau,Rue,de,Fontainebleau,2193 RUE DE FONTAINEBLEAU,
1187,,Chemin Pincourt,Chemin,,Pincourt,1187 CH PINCOURT,
2846,,Rue de Châteauroux,Rue,de,Châteauroux,2846 RUE DE CHATEAUROUX,
2318,,Rue des Fontaines,Rue,des,Fontaines,2318 RUE DES FONTAINES,
3082,,Rue Patenaude,Rue,,Patenaude,3082 RUE PATENAUDE,
1516,,Rue Boissonneault,Rue,,Boissonneault,1516 RUE BOISSONNEAULT,
1710,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1710 CH DE LA COTE-GEORGES,
571,,Rue du Grand-Héron,Rue,du,Grand-Héron,571 RUE DU GRAND-HERON,
3115,,Boulevard de Mascouche,Boulevard,de,Mascouche,3115 BOUL DE MASCOUCHE,
497,,Rue Terry-Fox,Rue,,Terry-Fox,497 RUE TERRY-FOX,
2391,,Avenue de la Gare,Avenue,de la,Gare,2391 AV DE LA GARE,
1365,,Rue de Valence,Rue,de,Valence,1365 RUE DE VALENCE,
1402,,Rue Boissonneault,Rue,,Boissonneault,1402 RUE BOISSONNEAULT,
2795,,Rue des Buses,Rue,des,Buses,2795 RUE DES BUSES,
2655,,Rue Baudelaire,Rue,,Baudelaire,2655 RUE BAUDELAIRE,
1464,,Rue Barott,Rue,,Barott,1464 RUE BAROTT,
2606,,Rue de Carnac,Rue,de,Carnac,2606 RUE DE CARNAC,
498,,Rue de Bourgogne,Rue,de,Bourgogne,498 RUE DE BOURGOGNE,
140,,Place La Millionnaire,Place,,La Millionnaire,140 PLACE LA MILLIONNAIRE,
2931,,Avenue Bourque,Avenue,,Bourque,2931 AV BOURQUE,
1860,,Rue Barott,Rue,,Barott,1860 RUE BAROTT,
2310,,Avenue Pierre,Avenue,,Pierre,2310 AV PIERRE,
1314,,Chemin Saint-Henri,Chemin,,Saint-Henri,1314 CH ST-HENRI,
993,,Avenue de Charny,Avenue,de,Charny,993 AV DE CHARNY,
3438,,Avenue de Charlevoix,Avenue,de,Charlevoix,3438 AV DE CHARLEVOIX,
927,,Avenue De Maupassant,Avenue,,De Maupassant,927 AV DE MAUPASSANT,
3357,,Rue de Papineau,Rue,de,Papineau,3357 RUE DE PAPINEAU,
310,,Place de Cheverny,Place,de,Cheverny,310 PLACE DE CHEVERNY,
1470,,Place de l'Aquilon,Place,de l',Aquilon,1470 PLACE DE L'AQUILON,
992,,Rue Amicale,Rue,,Amicale,992 RUE AMICALE,
1433,,Rue de l'Aigle,Rue,de l',Aigle,1433 RUE DE L'AIGLE,
1137,,Rue Renaud,Rue,,Renaud,1137 RUE RENAUD,
505,,Place de Chenonceau,Place,de,Chenonceau,505 PLACE DE CHENONCEAU,
2855,,Rue Gouin,Rue,,Gouin,2855 RUE GOUIN,
668,,Rue Houle,Rue,,Houle,668 RUE HOULE,
2047,,2e Avenue,Avenue,,2e,2047 2E AV,
1950,,Chemin Saint-Henri,Chemin,,Saint-Henri,1950 CH ST-HENRI,
1296,,Rue de Brest,Rue,de,Brest,1296 RUE DE BREST,
1908,,Rue de Brompton,Rue,de,Brompton,1908 RUE DE BROMPTON,
611,,Rue Chauveau,Rue,,Chauveau,611 RUE CHAUVEAU,
1308,,Rue Verdier,Rue,,Verdier,1308 RUE VERDIER,
186,,Chemin Pincourt,Chemin,,Pincourt,186 CH PINCOURT,
2605,,Rue des Faucons,Rue,des,Faucons,2605 RUE DES FAUCONS,
337,,Croissant de Castelnaud,Croissant,de,Castelnaud,337 CROISSANT DE CASTELNAUD,
1300,,Croissant Louise,Croissant,,Louise,1300 CROISSANT LOUISE,
775,,Place des Roselins,Place,des,Roselins,775 PLACE DES ROSELINS,
612,,Rue de Pompadour,Rue,de,Pompadour,612 RUE DE POMPADOUR,
931,,Croissant Georges-Delfosse,Croissant,,Georges-Delfosse,931 CROISSANT GEORGES-DELFOSSE,
2126,,Rue Comtois,Rue,,Comtois,2126 RUE COMTOIS,
252,,Chemin des Anglais,Chemin,des,Anglais,252 CH DES ANGLAIS,
642,,Rue de Montmartre,Rue,de,Montmartre,642 RUE DE MONTMARTRE,
2345,,Avenue de la Gare,Avenue,de la,Gare,2345 AV DE LA GARE,
595,,Rue des Éperviers,Rue,des,Éperviers,595 RUE DES EPERVIERS,
2239,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2239 CH STE-MARIE,
1280,,Avenue Mathieu,Avenue,,Mathieu,1280 AV MATHIEU,
1404,,Avenue du Mistral,Avenue,du,Mistral,1404 AV DU MISTRAL,
417,,Croissant de Bourguignon,Croissant,de,Bourguignon,417 CROISSANT DE BOURGUIGNON,
1206,,Avenue de Normandie,Avenue,de,Normandie,1206 AV DE NORMANDIE,
339,,Rue de Margaux,Rue,de,Margaux,339 RUE DE MARGAUX,
1063,,Avenue Saint-Luc,Avenue,,Saint-Luc,1063 AV ST-LUC,
1542,,Avenue Louise,Avenue,,Louise,1542 AV LOUISE,
2495,,Avenue de Maussac,Avenue,de,Maussac,2495 AV DE MAUSSAC,
2822,A,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2822 CH STE-MARIE,
1280,,Rue Moorecrest,Rue,,Moorecrest,1280 RUE MOORECREST,
2178,,Rue Chris-Ada,Rue,,Chris-Ada,2178 RUE CHRIS-ADA,
1447,,Avenue du Mistral,Avenue,du,Mistral,1447 AV DU MISTRAL,
3364,,Chemin Saint-Henri,Chemin,,Saint-Henri,3364 CH ST-HENRI,
1052,,Rue Barott,Rue,,Barott,1052 RUE BAROTT,
1307,,Rue Lionel-Groulx,Rue,,Lionel-Groulx,1307 RUE LIONEL-GROULX,
1806,,Rue Elm,Rue,,Elm,1806 RUE ELM,
229,,Croissant de Castelnaud,Croissant,de,Castelnaud,229 CROISSANT DE CASTELNAUD,
1610,,Rue Lauzon,Rue,,Lauzon,1610 RUE LAUZON,
498,,Avenue Crépeau,Avenue,,Crépeau,498 AV CREPEAU,
1417,,Avenue Mathieu,Avenue,,Mathieu,1417 AV MATHIEU,
1261,,Rue Cardinal,Rue,,Cardinal,1261 RUE CARDINAL,
1092,,Avenue de Normandie,Avenue,de,Normandie,1092 AV DE NORMANDIE,
1540,,Rue de l'Albatros,Rue,de l',Albatros,1540 RUE DE L'ALBATROS,
203,,Place Christie,Place,,Christie,203 PLACE CHRISTIE,
508,,Rue d'Artois,Rue,d',Artois,508 RUE D'ARTOIS,
972,,Rue de Lévis,Rue,de,Lévis,972 RUE DE LEVIS,
2431,,Rue de Toulon,Rue,de,Toulon,2431 RUE DE TOULON,
1595,,Rue Poplar,Rue,,Poplar,1595 RUE POPLAR,
2950,,Rue Dupras,Rue,,Dupras,2950 RUE DUPRAS,
341,,Avenue Crépeau,Avenue,,Crépeau,341 AV CREPEAU,
160,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,160 RUE DE ST-GABRIEL,
2262,,Boulevard de Mascouche,Boulevard,de,Mascouche,2262 BOUL DE MASCOUCHE,
1495,,Avenue de la Gare,Avenue,de la,Gare,1495 AV DE LA GARE,
1070,,Avenue Louise,Avenue,,Louise,1070 AV LOUISE,
322,,Avenue Crépeau,Avenue,,Crépeau,322 AV CREPEAU,
956,,Rue Le Gardeur,Rue,,Le Gardeur,956 RUE LE GARDEUR,
1465,,Rue Poplar,Rue,,Poplar,1465 RUE POPLAR,
417,,Place des Pluviers,Place,des,Pluviers,417 PLACE DES PLUVIERS,
665,,Rue des Éperviers,Rue,des,Éperviers,665 RUE DES EPERVIERS,
959,,Croissant Georges-Delfosse,Croissant,,Georges-Delfosse,959 CROISSANT GEORGES-DELFOSSE,
1015,,Place Colville,Place,,Colville,1015 PLACE COLVILLE,
2173,,Place Glen Abbey,Place,,Glen Abbey,2173 PLACE GLEN ABBEY,
1447,,Rue Boissonneault,Rue,,Boissonneault,1447 RUE BOISSONNEAULT,
1386,,Avenue du Mistral,Avenue,du,Mistral,1386 AV DU MISTRAL,
2248,,Rue de Fontainebleau,Rue,de,Fontainebleau,2248 RUE DE FONTAINEBLEAU,
2971,,Rue Dugas,Rue,,Dugas,2971 RUE DUGAS,
1486,,Chemin des Anglais,Chemin,des,Anglais,1486 CH DES ANGLAIS,
2312,,Rue de Versailles,Rue,de,Versailles,2312 RUE DE VERSAILLES,
2692,,Rue du Verger,Rue,du,Verger,2692 RUE DU VERGER,
478,,Avenue Crépeau,Avenue,,Crépeau,478 AV CREPEAU,
515,,Rue des Érables,Rue,des,Érables,515 RUE DES ERABLES,
2771,,Rue Dumont,Rue,,Dumont,2771 RUE DUMONT,
115,,Rue Sunset,Rue,,Sunset,115 RUE SUNSET,
494,,Rue Caron,Rue,,Caron,494 RUE CARON,
3252,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,3252 CH ST-PHILIPPE,
804,,Rue Brien,Rue,,Brien,804 RUE BRIEN,
3122,,Place Borduas,Place,,Borduas,3122 PLACE BORDUAS,
1779,,Rue Elm,Rue,,Elm,1779 RUE ELM,
1646,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1646 CH DE LA COTE-GEORGES,
109,,Rue de Suisse,Rue,de,Suisse,109 RUE DE SUISSE,
517,,Rue Parent,Rue,,Parent,517 RUE PARENT,
1506,,Rue Boissonneault,Rue,,Boissonneault,1506 RUE BOISSONNEAULT,
2057,,Rue Comtois,Rue,,Comtois,2057 RUE COMTOIS,
2592,,Place Voltaire,Place,,Voltaire,2592 PLACE VOLTAIRE,
1362,,Rue des Appalaches,Rue,des,Appalaches,1362 RUE DES APPALACHES,
949,,Rue des Épinettes,Rue,des,Épinettes,949 RUE DES EPINETTES,
1554,,Rue Lauzon,Rue,,Lauzon,1554 RUE LAUZON,
2289,,Rue Bélanger,Rue,,Bélanger,2289 RUE BELANGER,
1558,,Avenue Garden,Avenue,,Garden,1558 AV GARDEN,
621,,Rue de Pompéi,Rue,de,Pompéi,621 RUE DE POMPEI,
708,,Montée Masson,Montée,,Masson,708 MTEE MASSON,
2553,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,2553 CH ST-PHILIPPE,
2801,,Rue des Mésanges,Rue,des,Mésanges,2801 RUE DES MESANGES,
1150,,Rue Dompierre,Rue,,Dompierre,1150 RUE DOMPIERRE,
1663,,Avenue de la Gare,Avenue,de la,Gare,1663 AV DE LA GARE,
452,,Rue Caron,Rue,,Caron,452 RUE CARON,
2030,,Rue Glen Abbey,Rue,,Glen Abbey,2030 RUE GLEN ABBEY,
290,,Avenue Crépeau,Avenue,,Crépeau,290 AV CREPEAU,
3364,,Rue Saint-Martin,Rue,,Saint-Martin,3364 RUE ST-MARTIN,
460,,Rue Preston,Rue,,Preston,460 RUE PRESTON,
1430,,Rue de Cherbourg,Rue,de,Cherbourg,1430 RUE DE CHERBOURG,
1662,A,Avenue Phillips,Avenue,,Phillips,1662 AV PHILLIPS,
3352,,Rue de Papineau,Rue,de,Papineau,3352 RUE DE PAPINEAU,
630,,Rue de Montmartre,Rue,de,Montmartre,630 RUE DE MONTMARTRE,
2143,,Avenue de la Gare,Avenue,de la,Gare,2143 AV DE LA GARE,
1092,,Avenue Lafleur,Avenue,,Lafleur,1092 AV LAFLEUR,
2622,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,2622 CH ST-PHILIPPE,
2963,,Rue Gouin,Rue,,Gouin,2963 RUE GOUIN,
317,,Place Larose,Place,,Larose,317 PLACE LAROSE,
1156,,Rue Suzanne,Rue,,Suzanne,1156 RUE SUZANNE,
3035,,Avenue Bourque,Avenue,,Bourque,3035 AV BOURQUE,
2782,,Avenue du Bocage,Avenue,du,Bocage,2782 AV DU BOCAGE,
1816,,Chemin Saint-Henri,Chemin,,Saint-Henri,1816 CH ST-HENRI,
401,,Rue Louis-Blériot,Rue,,Louis-Blériot,401 RUE LOUIS-BLERIOT,
519,,Rue de Pompéi,Rue,de,Pompéi,519 RUE DE POMPEI,
538,,Place de Chambord,Place,de,Chambord,538 PLACE DE CHAMBORD,
499,,Rue du Bourbonnais,Rue,du,Bourbonnais,499 RUE DU BOURBONNAIS,
456,,Rue Marchand,Rue,,Marchand,456 RUE MARCHAND,
2800,,Rue de Chartres,Rue,de,Chartres,2800 RUE DE CHARTRES,
529,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,529 CH STE-MARIE,
2596,,Rue De Vigny,Rue,,De Vigny,2596 RUE DE VIGNY,
1978,,Rue Comtois,Rue,,Comtois,1978 RUE COMTOIS,
300,,Place de Cheverny,Place,de,Cheverny,300 PLACE DE CHEVERNY,
1031,,Rue Barott,Rue,,Barott,1031 RUE BAROTT,
624,,Rue Brien,Rue,,Brien,624 RUE BRIEN,
19,,Avenue Napoléon,Avenue,,Napoléon,19 AV NAPOLEON,
1334,,Rue d'Orléans,Rue,d',Orléans,1334 RUE D'ORLEANS,
639,,Rue des Éperviers,Rue,des,Éperviers,639 RUE DES EPERVIERS,
662,,Rue Andrassy,Rue,,Andrassy,662 RUE ANDRASSY,
