NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
1030,,Rue des Fontaines,Rue,des,Fontaines
2201,,Boulevard de Mascouche,Boulevard,de,Mascouche
2942,,Avenue de la Gare,Avenue,de la,Gare
1423,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
3353,,Rue De Musset,Rue,,De Musset
706,,Rue des Érables,Rue,des,Érables
2861,,Avenue Marie-Victorin,Avenue,,Marie-Victorin
955,,Rue de Greenwich,Rue,de,Greenwich
3428,,Rue de Viau,Rue,de,Viau
322,,Rue Dalpé,Rue,,Dalpé
3021,,Rue Jeannotte,Rue,,Jeannotte
2381,,Rue de Bayonne,Rue,de,Bayonne
1223,,Rue Suzanne,Rue,,Suzanne
446,,Rue de Margaux,Rue,de,Margaux
3600,,Avenue de la Gare,Avenue,de la,Gare
532,,Rue du Grand-Héron,Rue,du,Grand-Héron
940,,Rue George-Sand,Rue,,George-Sand
317,,Chemin des Anglais,Chemin,des,Anglais
676,,Avenue Crépeau,Avenue,,Crépeau
2167,,Place Glen Abbey,Place,,Glen Abbey
963,,Rue de l'Amour,Rue,de l',Amour
1077,,Rue Lamartine,Rue,,Lamartine
1177,,Avenue de Normandie,Avenue,de,Normandie
1323,,Rue des Laurentides,Rue,des,Laurentides
903,,Avenue De Maupassant,Avenue,,De Maupassant
1818,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde
91,,Rue Sunny Side,Rue,,Sunny Side
785,,Avenue Crépeau,Avenue,,Crépeau
1308,,Rue de Grande-Bretagne,Rue,de,Grande-Bretagne
428,,Rue Andrassy,Rue,,Andrassy
1800,,Avenue Saint-Jean,Avenue,,Saint-Jean
1836,,Montée du Domaine,Montée,du,Domaine
2710,,Croissant des Geais-Bleus,Croissant,des,Geais-Bleus
2965,,Rue Demers,Rue,,Demers
2315,,Rue de Versailles,Rue,de,Versailles
2065,,Rue Brady,Rue,,Brady
2667,,Chemin Gascon,Chemin,,Gascon
1371,,Rue Barott,Rue,,Barott
3356,,Rue Saint-Laurent,Rue,,Saint-Laurent
2921,,Rue de Calais,Rue,de,Calais
950,,Chemin de la Cabane-Ronde,Chemin,de la,Cabane-Ronde
2250,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
3359,,Rue de Vanier,Rue,de,Vanier
271,,Rue Martel,Rue,,Martel
2360,,Avenue de Maussac,Avenue,de,Maussac
1141,,Avenue de la Grande-Allée,Avenue,de la,Grande-Allée
2108,,Avenue de la Gare,Avenue,de la,Gare
2579,,Rue Cantin,Rue,,Cantin
1491,,Croissant Nelligan,Croissant,,Nelligan
653,,Rue de Pompadour,Rue,de,Pompadour
2600,,Rue Lafontaine,Rue,,Lafontaine
456,,Rue Andrassy,Rue,,Andrassy
309,,Place des Pluviers,Place,des,Pluviers
1425,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
1020,,Rue Barott,Rue,,Barott
469,,Rue Private,Rue,,Private
2993,,Rue Patenaude,Rue,,Patenaude
311,,Rue Jordan,Rue,,Jordan
2838,,Croissant des Grives,Croissant,des,Grives
357,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
2970,,Boulevard de Mascouche,Boulevard,de,Mascouche
741,,Rue de l'Oural,Rue,de l',Oural
976,,Rue Le Gardeur,Rue,,Le Gardeur
893,,Rue George-Sand,Rue,,George-Sand
1250,,Rue d'Anjou,Rue,d',Anjou
