id,name,sector,team,status
546,Rue Amicale,,,a_faire
323,Rue Andrassy,,,a_faire
536,Rue André-Le Nôtre,,,a_faire
54,Rue Annette,,,a_faire
458,Rue Archambault,,,a_faire
459,Rue Arsenault,,,a_faire
517,Rue Auger,,,a_faire
168,Rue Baker,,,a_faire
530,Rue Barott,,,a_faire
52,Rue Baudelaire,,,a_faire
461,Rue Bazinet,,,a_faire
462,Rue Beauchamp,,,a_faire
121,Rue Beaudoin,,,a_faire
126,Rue Beauregard,,,a_faire
304,Rue Bergeron,,,a_faire
247,Rue Birch-Grove,,,a_faire
382,Rue Bohémier,,,a_faire
463,Rue Boissonneault,,,a_faire
244,Rue Bombardier,,,a_faire
505,Rue Bourgie,,,a_faire
122,Rue Bourgouin,,,a_faire
299,Rue Brady,,,a_faire
229,Rue Breault,,,a_faire
105,Rue Brien,,,a_faire
178,Rue Brochu,,,a_faire
317,Rue Bélanger,,,a_faire
72,Rue Bérard,,,a_faire
400,Rue Camus,,,a_faire
63,Rue Cantin,,,a_faire
29,Rue Cardinal,,,a_faire
383,Rue Caron,,,a_faire
161,Rue Cedar,,,a_faire
146,Rue Center,,,a_faire
205,Rue Champagne,,,a_faire
501,Rue Charbonneau,,,a_faire
160,Rue Chartrand,,,a_faire
113,Rue Chauveau,,,a_faire
71,Rue Chauvette,,,a_faire
544,Rue Chayer,,,a_faire
226,Rue Chris-Ada,,,a_faire
464,Rue Churchill,,,a_faire
88,Rue Châteauroux,,,a_faire
185,Rue Circle,,,a_faire
276,Rue Claudel,,,a_faire
333,Rue Comtois,,,a_faire
503,Rue Contant,,,a_faire
51,Rue Corneille,,,a_faire
313,Rue Cossette,,,a_faire
253,Rue Cottage,,,a_faire
87,Rue Coursol,,,a_faire
421,Rue Crescent,,,a_faire
380,Rue Dalpé,,,a_faire
401,Rue Daudet,,,a_faire
277,Rue Davaugour,,,a_faire
127,Rue Demers,,,a_faire
114,Rue Deslongchamps,,,a_faire
34,Rue Desportes,,,a_faire
164,Rue Devoyault,,,a_faire
163,Rue Doiron,,,a_faire
510,Rue Dompierre,,,a_faire
525,Rue Drouin,,,a_faire
40,Rue Dufort,,,a_faire
494,Rue Dugas,,,a_faire
128,Rue Duhamel,,,a_faire
41,Rue Dumont,,,a_faire
4,Rue Dupras,Centre,,a_faire
498,Rue Duval,,,a_faire
258,Rue Ellis,,,a_faire
157,Rue Elm,,,a_faire
187,Rue Forest,,,a_faire
10,Rue Forget,Sud,,a_faire
402,Rue Françoise-Giroud,,,a_faire
233,Rue Gagnon,,,a_faire
